mfg,mode,dtype,kernel,Batch_size,Batches_per_Step,Steps,Input_width,Input_height,Channel,Kernel_num,Kernel_size,Padding,Stride,Compile_Time,sec_per_iter,spare,items_per_second,TFLOPS,end_to_end
A100,Training,torch.float32,Kernel1,65536,100,1,7,7,32,32,3,0,1,0.0,0.000000,None,24200577.809394,11.151626,0.000000
A100,Training,torch.float32,Kernel2,2048,100,1,14,14,128,256,3,1,1,0.0,0.000002,None,631593.332559,73.015666,0.000002
A100,Training,torch.float32,Kernel3,8,100,1,54,54,1024,1024,3,1,1,0.0,0.000489,None,2046.844402,112.653520,0.000489
A100,Training,torch.float32,Kernel4,16,100,1,128,128,128,128,5,0,1,0.0,0.000130,None,7688.502567,96.844526,0.000130
A100,Training,torch.float16,Kernel1,131072,100,1,7,7,32,32,3,0,1,0.0,0.000000,None,46304467.829622,21.337099,0.000000
A100,Training,torch.float16,Kernel2,4096,100,1,14,14,128,256,3,1,1,0.0,0.000001,None,904756.018622,104.594776,0.000001
A100,Training,torch.float16,Kernel3,16,100,1,54,54,1024,1024,3,1,1,0.0,0.000269,None,3722.244322,204.863607,0.000269
A100,Training,torch.float16,Kernel4,32,100,1,128,128,128,128,5,0,1,0.0,0.000080,None,12511.953583,157.600808,0.000080
A100,Training,torch.bfloat16,Kernel1,131072,100,1,7,7,32,32,3,0,1,0.0,0.000000,None,18911084.405942,8.714228,0.000000
A100,Training,torch.bfloat16,Kernel2,4096,100,1,14,14,128,256,3,1,1,0.0,0.000001,None,898196.127375,103.836416,0.000001
A100,Training,torch.bfloat16,Kernel3,16,100,1,54,54,1024,1024,3,1,1,0.0,0.000265,None,3775.329707,207.785302,0.000265
A100,Training,torch.bfloat16,Kernel4,32,100,1,128,128,128,128,5,0,1,0.0,0.000081,None,12345.129377,155.499487,0.000081
